start
!$GPRMC,100137.00,V,,,,,,,190923,,,N*79

$GPVTG,,,,,,,,,N*30

$GPGGA,100137.00,,,,,0,04,17.72,,,,,,*65

$GPGSA,A,1,03,04,19,17,,,,,,,,,36.79,17.72,32.24*36

$GPGSV,3,1,11,01,45,156,24,02,,,25,03,76,035,26,04,63,218,20*42

$GPGSV,3,2,11,06,,,30,09,,,24,10,,,18,17,31,264,26*4A

$GPGSV,3,3,11,19,29,290,28,28,24,048,20,31,,,23*7A

$GPGLL,,,,,100137.00,V,N*4E

$GPRMC,100138.00,V,,,,,,,190923,,,N*76

$GPVTG,,,,,,,,,N*30

$GPGGA,100138.00,,,,,0,04,17.67,,,,,,*6E

$GPGSA,A,1,03,04,19,17,,,,,,,,,367,32.14*31

$GPGSV,3,1,10,01,45,156,23,02,,,24,03,76,035,26,04,63,218,19*4F

$GPGSV,3,2,10,06,,,25,09,,,23,17,31,264,26,19,29,290,25*7F

$GPGSV,3,3,10,28,24,048,19,31,,,25*45

$GPGLL,,,,,100138.00,V,N*41

$GPRMC,100139.00,V,,,,,,,190923,,,N*77

$GPVTG,,,,,,,,,N*30

$GPGGA,100139.00,,,,,0,04,17.62,,,,,,*6A

$GPGSA,A,1,03,04,19,17,,,,,,,,,36.57,17.62,32.04*39

$GPGSV,3,1,10,01,45,156,19,02,,,21,03,76,035,24,04,63,218,16*4E

$GPGSV,3,2,10,06,,,22,09,,,21,17,31,264,22,19,29,290,24*7F

$GPGSV,3,3,10,48,16,31,,,25*4A

$GPGLL,,,,,100139.00,V,N*40

$GPRMC,100140.00,V,,,,,,,190923,,,N*79

$GPVTG,,,,,,,,,N*30

$GPGGA,100140.00,,,,,0,04,17.56,,,,,,*63

$GPGSA,A,1,03,04,19,17,,,,,,,,,36.45,17.56,31.94*37

$GPGSV,3,1,10,01,45,156,16,02,,,17,03,76,035,26,04,63,218,15*45

$GPGSV,3,2,10,06,,,20,09,,,19,17,31,264,21,19,29,290,23*72

$GPGSV,3,3,10,28,24,048,14,31,,,27*4A

$GPGLL,,,,,100140.00,V,N*4E

$GPRMC,100141.00,V,,,,,,,190923,,,N*78

$GPVTG,,,,,,,,,N*30

$GPGGA,100141.00,,,,,0,04,17.51,,,,,,*65

$,1,03,04,19,17,,,,,,,,,36.34,17.51,31.85*36

$GPGSV,3,1,10,01,45,156,15,02,,,18,03,76,035,29,04,63,218,12*41

$GPGSV,3,2,10,06,,,18,09,,,14,17,31,264,20,19,29,290,24*72

$GPGSV,3,3,10,28,24,048,14,31,,,25*48

$GPGLL,,,,,100141.00,V,N*4F

$GPRMC,100142.00,V,,,,,,,190923,,,N*7B

$GPVTG,,,,,,,,,N*30

$GPGGA,100142.00,,,,,0,04,17.46,,,,,,*60

$GPGSA,A,1,03,04,19,17,,,,,,,,,36.23,17.46,31.75*39

$GPGSV,3,1,10,01,45,156,19,02,,,22,03,76,035,27,04,63,218,14*4C

$GPGSV,3,2,10,06,,,16,09,,,13,17,31,264,30290,25*7B

$GPGSV,3,3,10,28,24,048,13,31,,,22*48

$GPGLL,,,,,100142.00,V,N*4C

$GPRMC,100143.00,V,,,,,,,190923,,,N*7A

$GPVTG,,,,,,,,,N*30

$GPGGA,100143.00,,,,,0,04,17.41,,,,,,*66

$GPGSA,A,1,03,04,19,17,,,,,,,,,36.12,17.41,31.65*3D

$GPGSV,3,1,10,01,45,156,22,02,,,24,03,76,035,25,04,63,218,16*42

$GPGSV,3,2,10,06,,,15,09,,,16,17,31,264,20,19,29,290,26*7F

$GPGSV,3,3,10,28,24,048,11,31,,,20*48

$GPGLL,,,,,100143.00,V,N*4D

$GPRMC,100144.00,V,,,,,,,190923,,,N*7D

$GPVTG,,,,,,,,,N*30

$GPGGA,100,,,,,0,04,17.35,,,,,,*62

$GPGSA,A,1,03,04,19,17,,,,,,,,,36.01,17.35,31.55*3F

$GPGSV,3,1,10,01,45,156,23,02,,,20,03,76,035,22,04,63,218,15*43

$GPGSV,3,2,10,06,,,15,09,,,16,17,31,264,19,19,29,290,23*70

$GPGSV,3,3,10,28,24,048,12,31,,,20*4B

$GPGLL,,,,,100144.00,V,N*4A

$GPRMC,100145.00,V,,,,,,,190923,,,N*7C

$GPVTG,,,,,,,,,N*30

$GPGGA,100145.00,,,,,0,04,17.30,,,,,,*66

$GPGSA,A,1,03,04,19,17,,,,,,,,,35.90,17.30,31.46*33

$GPGSV,3,1,10,01,45,156,25,02,,,21,03,76,035,20,04,63,218,18*4B

$GPGSV,36,,,14,09,,,14,17,31,264,17,19,29,290,20*7E

$GPGSV,3,3,10,28,24,048,12,31,,,23*48

$GPGLL,,,,,100145.00,V,N*4B

$GPRMC,100146.00,V,,,,,,,190923,,,N*7F

$GPVTG,,,,,,,,,N*30

$GPGGA,100146.00,,,,,0,04,17.25,,,,,,*61

$GPGSA,A,1,03,04,19,17,,,,,,,,,35.79,17.25,31.36*37

$GPGSV,3,1,10,01,45,156,24,02,,,20,03,76,035,23,04,63,218,17*47

$GPGSV,3,2,10,06,,,15,09,,,13,17,31,264,15,19,29,290,19*70

$GPGSV,3,3,10,28,24,048,15,31,,,24*48

$GPGLL,,,,,100146.00,V,N*48

$GPRMC,100147.00,V,,,,,,,190923,,,N*7E
,,,,,,,,,N*30

$GPGGA,100147.00,,,,,0,04,17.20,,,,,,*65

$GPGSA,A,1,03,04,19,17,,,,,,,,,35.68,17.20,31.26*33

$GPGSV,3,1,10,01,45,156,21,02,,,17,03,76,035,25,04,63,218,17*40

$GPGSV,3,2,10,06,,,17,09,,,11,17,31,264,19,19,29,290,21*77

$GPGSV,3,3,10,28,24,048,14,31,,,25*48

$GPGLL,,,,,100147.00,V,N*49

$GPRMC,100148.00,V,,,,,,,190923,,,N*71

$GPVTG,,,,,,,,,N*30

$GPGGA,100148.00,,,,,0,04,17.15,,,,,,*6C

$GPGSA,A,1,03,04,19,17,,,,,,,,,35.58,17.15,31.17*34

$GPGSV,3,1,10,01,45,157,19,02,,,17,03,76,04,63,218,16*48

$GPGSV,3,2,10,06,,,19,09,,,13,17,31,264,21,19,29,290,24*75

$GPGSV,3,3,10,28,24,048,17,31,,,24*4A

$GPGLL,,,,,100148.00,V,N*46

$GPRMC,100149.00,V,,,,,,,190923,,,N*70

$GPVTG,,,,,,,,,N*30

$GPGGA,100149.00,,,,,0,04,17.10,,,,,,*68

$GPGSA,A,1,03,04,19,17,,,,,,,,,35.47,17.10,31.08*31

$GPGSV,3,1,10,01,45,157,18,02,,,15,03,76,035,26,04,63,218,18*45

$GPGSV,3,2,10,06,,,20,09,,,14,17,31,264,22,19,29,290,24*7B

$GPGSV,3,3,10,28,24,048,17,31,,,32*4D

$GPGLL,,,,,100149.00,V,N*47

$GPRMC,00,V,,,,,,,190923,,,N*78

$GPVTG,,,,,,,,,N*30

$GPGGA,100150.00,,,,,0,04,17.05,,,,,,*64

$GPGSA,A,1,03,04,19,17,,,,,,,,,35.36,17.05,30.98*3B
